,precipitation,temp_avg,state
82223,1.65,42.0,CA
107928,3.65,50.8,CA
135525,0.32,66.9,CA
86842,4.0,67.2,TX
81718,1.65,45.8,TX
92445,1.91,48.5,CA
83452,3.49,46.7,WA
87263,3.65,72.8,TX
99101,6.93,47.2,CA
77301,1.27,51.3,CA
93154,1.9,74.0,TX
93115,4.98,44.9,CA
79595,2.17,51.6,CA
88018,0.65,45.3,CA
99631,2.71,67.4,TX
96796,1.09,62.0,CA
98086,0.57,75.0,CA
92074,0.59,61.5,CA
111674,1.59,55.7,WA
92582,4.46,35.6,WA
119667,0.32,64.1,CA
118780,5.11,28.6,WA
104769,0.05,62.2,CA
96429,3.84,44.6,WA
106053,3.79,38.1,WA
118338,0.74,54.4,CA
85245,2.29,47.8,WA
111432,0.32,66.9,CA
104313,0.93,67.4,TX
81194,4.98,44.9,CA
86537,4.0,67.2,TX
118998,0.81,41.5,CA
88736,2.1,56.8,CA
103640,1.23,60.0,WA
99089,0.17,72.9,CA
122187,0.5,67.5,CA
117543,3.55,42.5,TX
108991,0.06,77.4,CA
83277,0.71,63.7,CA
94412,0.57,68.2,CA
103292,0.7,57.3,CA
118810,0.73,64.6,CA
116690,0.45,58.8,CA
103622,3.06,52.4,WA
127337,0.84,54.0,CA
81454,1.44,62.3,CA
103109,3.13,47.0,WA
116528,5.41,44.0,CA
109529,0.67,66.2,CA
102537,3.23,42.9,WA
96763,1.5,75.8,TX
113973,1.11,65.4,WA
103684,0.74,52.5,CA
86132,0.27,75.0,CA
123037,7.11,41.1,CA
88471,1.35,84.3,TX
89187,2.48,55.6,WA
107206,0.01,71.8,CA
112344,0.4,74.2,CA
86064,1.97,56.3,WA
80228,10.04,39.6,WA
133036,0.7,84.1,TX
111121,1.59,55.7,WA
88256,4.42,43.1,CA
118718,0.74,54.4,CA
85477,0.68,63.5,WA
88732,3.02,74.1,TX
106623,5.51,44.6,CA
91430,0.96,48.7,TX
101158,5.77,44.0,CA
97734,0.52,60.8,WA
92602,1.9,74.0,TX
81625,0.25,67.8,CA
108159,0.12,74.8,CA
88032,3.25,53.3,TX
101171,6.2,29.8,WA
78259,1.15,57.2,WA
135556,0.22,73.8,CA
121916,0.82,53.3,CA
83730,5.09,45.8,CA
111425,0.32,66.9,CA
97901,1.64,45.3,CA
100101,2.35,46.8,CA
98362,0.57,75.0,CA
114059,1.25,51.0,TX
93242,0.07,71.2,CA
108738,0.06,77.4,CA
81119,3.69,82.3,TX
111945,2.26,52.4,CA
113570,1.14,50.2,TX
107990,4.39,42.7,WA
87949,2.03,51.9,TX
101042,3.31,58.9,TX
88266,4.42,43.1,CA
96661,1.09,62.0,CA
112633,0.45,47.2,TX
102567,4.08,73.9,TX
89032,3.26,43.5,WA
110195,2.0,49.7,WA
100063,6.32,50.6,WA
120855,0.12,70.5,CA
85959,0.27,75.0,CA
102332,3.2,35.1,WA
118357,0.74,54.4,CA
103717,12.5,44.7,CA
100790,2.42,62.6,WA
103215,0.26,70.8,CA
113623,3.57,32.8,WA
78842,0.89,55.6,CA
90334,0.3,71.2,CA
87260,1.75,42.4,TX
86454,0.79,46.0,CA
103554,0.43,68.2,CA
87671,4.42,43.1,CA
89447,0.73,63.4,WA
98827,1.23,60.0,WA
82411,0.25,67.8,CA
112271,1.06,52.9,TX
106493,1.68,47.7,CA
78163,6.9,29.0,WA
77717,0.07,71.2,CA
103358,4.14,79.4,TX
85582,0.06,73.5,CA
106388,3.81,48.5,WA
111653,2.26,52.4,CA
92774,1.9,74.0,TX
114575,0.14,69.4,CA
91458,7.62,44.5,CA
99787,3.98,50.0,CA
78338,5.12,45.6,CA
77537,1.93,60.8,WA
120820,1.06,68.1,WA
82472,3.89,79.2,TX
130259,1.16,57.5,TX
127812,2.2,53.0,CA
105794,0.14,69.4,CA
114952,0.06,73.8,CA
98371,0.29,65.9,WA
125766,3.21,41.2,CA
81299,5.18,68.5,TX
103786,6.66,78.7,TX
105058,0.4,67.3,WA
120444,5.37,79.0,TX
88302,2.08,32.1,WA
94911,0.79,57.5,WA
116119,3.79,38.1,WA
120389,0.12,70.5,CA
111040,1.59,55.7,WA
91381,1.45,48.2,CA
95541,2.2,73.9,TX
86988,5.24,51.1,TX
108784,1.79,53.0,CA
99637,0.09,65.4,CA
93224,0.59,61.5,CA
106276,6.18,55.7,TX
92256,4.23,34.3,WA
80605,4.05,41.0,WA
107201,2.81,42.1,CA
102271,1.08,56.9,CA
84337,6.09,30.4,WA
110922,1.59,55.7,WA
83592,1.34,65.8,TX
109668,1.09,65.0,WA
87878,2.21,52.6,CA
98141,2.36,82.1,TX
82879,1.57,75.8,TX
121172,0.21,70.0,CA
116129,3.27,74.1,TX
103924,6.66,78.7,TX
121813,1.51,58.6,CA
93877,0.31,63.6,WA
85633,0.47,84.2,TX
116464,3.27,74.1,TX
92906,2.39,80.6,TX
135485,0.55,43.9,CA
111123,1.59,55.7,WA
98429,0.31,73.3,CA
114783,4.16,53.0,CA
96134,1.94,78.6,TX
117686,0.81,41.5,CA
117624,0.81,41.5,CA
81404,1.87,51.3,CA
81934,2.27,80.3,TX
84944,0.94,63.9,CA
113699,5.41,44.0,CA
96147,2.93,46.8,WA
92162,1.98,55.4,TX
77581,4.99,45.4,WA
77722,0.06,75.0,CA
